# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
萬用填充項擠壓-同領域,梁社漢排骨正職人員38-48K 台南市安平區,中式廚師,日式廚師,中／港式點心廚師,其他料理廚師,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,西式廚師,門市／店員／專櫃人員,侍酒師,品管／品保主管,店長／門市管理人員,餐飲主管,餐飲服務人員,餐廚助手,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,西式廚師,門市／店員／專櫃人員,侍酒師,品管／品保主管,店長／門市管理人員,餐飲主管,餐飲服務人員
萬用填充項擠壓-同領域,製作~便當菜、炒菜、炸物…廚藝有信心者(打零工/長期/兼職),中式廚師,其他料理廚師,西式廚師,生鮮處理人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,外送人員,餐廚助手,洗碗人員,售票／收銀人員,資材人員,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,外送人員,洗碗人員,售票／收銀人員,資材人員
,麵點學徒（月薪$37400起）,其他料理廚師,餐廚助手,中式廚師,中式麵點人員／師傅,中／港式點心廚師,學徒,焊接技術人員,CNC車床人員,機車維修人員,印前製作人員,泥水工相關人員,中式麵點人員／師傅,SMT工程師,汽車檢驗員,木工,中式麵點人員／師傅,學徒,焊接技術人員,CNC車床人員,機車維修人員,印前製作人員,泥水工相關人員,SMT工程師,汽車檢驗員,木工
萬用填充項擠壓-同領域,【大寮區】連鎖便當店徵早班中餐廚師,中式廚師,鐵板燒廚師,其他料理廚師,餐廚助手,中／港式點心廚師,調酒師／吧台人員,西式廚師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,餐飲服務人員,餐廚助手,中式廚師,洗碗人員,藥師助理,餐廚助手,調酒師／吧台人員,西式廚師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,餐飲服務人員,中式廚師,洗碗人員,藥師助理
萬用填充項擠壓-跨領域(高信心),儲備幹部(西螺店),門市／店員／專櫃人員,餐飲服務人員,餐廚助手,飯店／旅館服務人員,飯店／旅館櫃檯人員,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,儲備幹部,餐飲主管,門市／店員／專櫃人員,冷熱飲調製人員,資材主管,侍酒師,售票／收銀人員,門市／店員／專櫃人員,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,儲備幹部,餐飲主管,冷熱飲調製人員,資材主管,侍酒師,售票／收銀人員
萬用填充項擠壓-跨領域(高信心),儲備幹部【兒童新樂園卡哇依歡樂世界】,門市／店員／專櫃人員,門市／店員／專櫃人員,售票／收銀人員,遊樂景點工作人員,休閒娛樂事業從業人員,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,儲備幹部,售票／收銀人員,資材主管,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,售票／收銀人員,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,儲備幹部,資材主管,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員
萬用填充項擠壓-同領域,餐飲服務中班外場服務人員-羅東店,餐飲服務人員,餐廚助手,總機／接待／櫃檯人員,客服人員,休閒娛樂事業從業人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,侍酒師,售票／收銀人員,休閒娛樂事業從業人員,藥師助理,遊樂景點工作人員,休閒娛樂事業從業人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,侍酒師,售票／收銀人員,藥師助理,遊樂景點工作人員
,日照中心 業務負責人,長照機構業務負責人,護理長,護理師,居家服務督導員,社會工作人員／督導,國外業務人員,廣告AE,國貿人員,國內業務人員,國外業務主管,長照機構業務負責人,國貿助理,文字客服,電話客服人員,報關人員,長照機構業務負責人,國外業務人員,廣告AE,國貿人員,國內業務人員,國外業務主管,國貿助理,文字客服,電話客服人員,報關人員
,誠徵職業小貨車駕駛 (日領現金，月領9萬起（業界最高），無經驗可，請電洽),小客車／小貨車司機,搬運人員,外務／快遞／送貨,組裝組立技術人員,倉儲物流人員,CNC車床人員,大貨車司機,運輸物流類主管,技術人員,吊車／起重機相關操作人員,鍋爐相關人員,小客車／小貨車司機,塑膠押出技術人員,聯結車司機,水電工,小客車／小貨車司機,CNC車床人員,大貨車司機,運輸物流類主管,技術人員,吊車／起重機相關操作人員,鍋爐相關人員,塑膠押出技術人員,聯結車司機,水電工
,誠徵資深小貨車司機 (日領現金，月領9萬起（業界最高），請電洽),小客車／小貨車司機,搬運人員,組裝組立技術人員,外務／快遞／送貨,倉儲物流人員,CNC車床人員,吊車／起重機相關操作人員,聯結車司機,運輸物流類主管,大貨車司機,小客車／小貨車司機,堆高機操作人員,塑膠押出技術人員,壓鑄模具技術人員,理貨人員,小客車／小貨車司機,CNC車床人員,吊車／起重機相關操作人員,聯結車司機,運輸物流類主管,大貨車司機,堆高機操作人員,塑膠押出技術人員,壓鑄模具技術人員,理貨人員
,誠徵資深搬運人員 (日領現金，月領8萬起（業界最高），請電洽),搬運人員,小客車／小貨車司機,組裝組立技術人員,外務／快遞／送貨,倉儲物流人員,理貨人員,堆高機操作人員,運輸物流類主管,塑膠押出技術人員,CNC車床人員,技術人員,倉管／物料管理員,搬運人員,水電工,挖土／推土機相關操作人員,搬運人員,理貨人員,堆高機操作人員,運輸物流類主管,塑膠押出技術人員,CNC車床人員,技術人員,倉管／物料管理員,水電工,挖土／推土機相關操作人員
,業務司機(泰山楓江路)❤薪優38000元起❤獎勵旅遊周休二日,外務／快遞／送貨,國內業務人員,大客車司機,小客車／小貨車司機,倉儲物流人員,國外業務人員,報關人員,國貿人員,空運／船務,廣告AE,國內業務人員,票務人員／旅行社人員,文字客服,國外業務主管,保險業務員／經紀人,國內業務人員,國外業務人員,報關人員,國貿人員,空運／船務,廣告AE,票務人員／旅行社人員,文字客服,國外業務主管,保險業務員／經紀人
,業務司機(五股)❤薪優保底38000元起❤獎金高❤獎勵旅遊,外務／快遞／送貨,國內業務人員,大客車司機,小客車／小貨車司機,倉儲物流人員,國外業務人員,報關人員,廣告AE,國貿人員,空運／船務,國內業務人員,保險業務員／經紀人,票務人員／旅行社人員,國外業務主管,神秘客,國內業務人員,國外業務人員,報關人員,廣告AE,國貿人員,空運／船務,保險業務員／經紀人,票務人員／旅行社人員,國外業務主管,神秘客
,CNC銑床學徒(無經驗可),CNC銑床人員,機械加工技術人員,機械操作人員,學徒,技術人員,CNC車床人員,機車維修人員,汽車檢驗員,壓鑄模具技術人員,鑄造／鍛造模具技術人員,汽車維修人員,學徒,傳統銑床人員,吊車／起重機相關操作人員,線切割技術人員,學徒,CNC車床人員,機車維修人員,汽車檢驗員,壓鑄模具技術人員,鑄造／鍛造模具技術人員,汽車維修人員,傳統銑床人員,吊車／起重機相關操作人員,線切割技術人員
,配管配線學徒,水電工,電機設備裝配員,機械設備組裝測試人員,學徒,技術人員,機車維修人員,CNC車床人員,壓鑄模具技術人員,焊接技術人員,金屬建材架構人員,驗光師,雷射技術操作員,機電技師／工程師,電機技師／工程師,電機設備裝配員,電機設備裝配員,機車維修人員,CNC車床人員,壓鑄模具技術人員,焊接技術人員,金屬建材架構人員,驗光師,雷射技術操作員,機電技師／工程師,電機技師／工程師
,卡車維修學徒(夜校生可),汽車維修人員,汽車引擎技術人員,鈑金技術人員,學徒,技術人員,CNC車床人員,機車維修人員,汽車檢驗員,吊車／起重機相關操作人員,壓鑄模具技術人員,汽車維修人員,鍋爐相關人員,汽車引擎技術人員,學徒,通信維修人員,汽車維修人員,CNC車床人員,機車維修人員,汽車檢驗員,吊車／起重機相關操作人員,壓鑄模具技術人員,鍋爐相關人員,汽車引擎技術人員,學徒,通信維修人員
,(屏東廠)生管人員,生管／助理,品保工程師,生產技術／製程工程師,生產線工程師,技術人員,包裝員／作業員,生管主管,CNC車床人員,智慧製程工程師,塑膠押出技術人員,技術人員,電機技師／工程師,檢驗人員,水電工,電機設備裝配員,技術人員,包裝員／作業員,生管主管,CNC車床人員,智慧製程工程師,塑膠押出技術人員,電機技師／工程師,檢驗人員,水電工,電機設備裝配員
,(嘉義嘉泰廠)生管人員,生管／助理,品保工程師,生產技術／製程工程師,生產線工程師,技術人員,包裝員／作業員,生管主管,智慧製程工程師,CNC車床人員,塑膠押出技術人員,電機技師／工程師,技術人員,水電工,電機設備裝配員,原料檢驗人員,技術人員,包裝員／作業員,生管主管,智慧製程工程師,CNC車床人員,塑膠押出技術人員,電機技師／工程師,水電工,電機設備裝配員,原料檢驗人員
,(花蓮廠)生管人員,生管／助理,品保工程師,生產技術／製程工程師,生產線工程師,技術人員,生管主管,包裝員／作業員,CNC車床人員,電機技師／工程師,塑膠押出技術人員,智慧製程工程師,技術人員,電機設備裝配員,水電工,原料檢驗人員,技術人員,生管主管,包裝員／作業員,CNC車床人員,電機技師／工程師,塑膠押出技術人員,智慧製程工程師,電機設備裝配員,水電工,原料檢驗人員
,CNC銑床技術員,CNC銑床人員,CNC程式設計師,生產技術／製程工程師,生產線工程師,技術人員,CNC車床人員,汽車檢驗員,塑膠押出技術人員,電機技師／工程師,電機設備裝配員,傳統銑床人員,模具技術人員,壓鑄模具技術人員,塑膠模具技術人員,技術人員,技術人員,CNC車床人員,汽車檢驗員,塑膠押出技術人員,電機技師／工程師,電機設備裝配員,傳統銑床人員,模具技術人員,壓鑄模具技術人員,塑膠模具技術人員
,配管配線學徒(高雄),水電工,電機設備裝配員,學徒,工程助理,技術人員,機車維修人員,CNC車床人員,壓鑄模具技術人員,雷射技術操作員,焊接技術人員,電機設備裝配員,電機技師／工程師,機電技師／工程師,鍋爐相關人員,金屬建材架構人員,電機設備裝配員,機車維修人員,CNC車床人員,壓鑄模具技術人員,雷射技術操作員,焊接技術人員,電機技師／工程師,機電技師／工程師,鍋爐相關人員,金屬建材架構人員
,配管配線學徒(台南),水電工,電機設備裝配員,學徒,工程助理,技術人員,CNC車床人員,機車維修人員,壓鑄模具技術人員,雷射技術操作員,焊接技術人員,金屬建材架構人員,機電技師／工程師,電機技師／工程師,電機設備裝配員,鍋爐相關人員,電機設備裝配員,CNC車床人員,機車維修人員,壓鑄模具技術人員,雷射技術操作員,焊接技術人員,金屬建材架構人員,機電技師／工程師,電機技師／工程師,鍋爐相關人員
,配管配線學徒,水電工,電機設備裝配員,學徒,工程助理,技術人員,機車維修人員,CNC車床人員,壓鑄模具技術人員,焊接技術人員,金屬建材架構人員,驗光師,雷射技術操作員,機電技師／工程師,電機技師／工程師,電機設備裝配員,電機設備裝配員,機車維修人員,CNC車床人員,壓鑄模具技術人員,焊接技術人員,金屬建材架構人員,驗光師,雷射技術操作員,機電技師／工程師,電機技師／工程師
,現場儲備幹部,儲備幹部,領班／管理幹部,製程主管,包裝員／作業員,技術人員,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,儲備幹部,電機設備裝配員,電機工程主管,儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,電機設備裝配員,電機工程主管
,薪優 ~ 半技工(日薪2000-2500 / 0909398336電洽聯繫優先綠取),焊接技術人員,金屬建材架構人員,裝潢工程人員,營建工程人員,技術人員,CNC車床人員,包裝員／作業員,塑膠押出技術人員,汽車檢驗員,電機技師／工程師,技術人員,沖床人員,智慧製程工程師,壓鑄模具技術人員,放電加工技術人員,技術人員,CNC車床人員,包裝員／作業員,塑膠押出技術人員,汽車檢驗員,電機技師／工程師,沖床人員,智慧製程工程師,壓鑄模具技術人員,放電加工技術人員
,(固定做室內)裝潢現場學徒(無經驗可)意者請電洽0931-603056預約面試,學徒,裝潢工程人員,營建雜工／粗工,營建工程人員,技術人員,水電工,泥水工相關人員,CNC車床人員,檢驗人員,木工,電機設備裝配員,電機技師／工程師,技術人員,噴漆技術人員,PCB技術人員,技術人員,水電工,泥水工相關人員,CNC車床人員,檢驗人員,木工,電機設備裝配員,電機技師／工程師,噴漆技術人員,PCB技術人員
,業務代表(北士科),汽車銷售人員,國內業務人員,客服人員,門市／店員／專櫃人員,門市／店員／專櫃人員,國外業務人員,國貿助理,國貿人員,業務助理,廣告AE,國內業務人員,活動企劃人員,秘書,採購助理,電話客服人員,國內業務人員,國外業務人員,國貿助理,國貿人員,業務助理,廣告AE,活動企劃人員,秘書,採購助理,電話客服人員
萬用填充項擠壓-跨領域(高信心),門市正職.兼職.人員,工讀生,儲備幹部,經營管理主管,飯店／旅館櫃檯人員,售票／收銀人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,外送人員,售票／收銀人員,洗碗人員,餐廚助手,藥師助理,售票／收銀人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,飯店／旅館服務人員,外送人員,洗碗人員,餐廚助手,藥師助理
萬用填充項擠壓-同領域,"🔥【中晚班外場服務人員｜月薪36,000～45,000｜庭園咖啡廳】🔥 ✨ 穩定餐飲工作 × 舒適庭園環境 × 表現優良可調薪 ✨",餐飲服務人員,門市／店員／專櫃人員,餐廚助手,包裝員／作業員,售票／收銀人員,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,咖啡師,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,休閒娛樂事業從業人員,藥師助理,門市／店員／專櫃人員,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,咖啡師,餐飲主管,售票／收銀人員,休閒娛樂事業從業人員,藥師助理
萬用填充項擠壓-同領域,工讀生(西螺夜市),餐廚助手,生鮮處理人員,餐飲服務人員,工讀生,售票／收銀人員,飯店／旅館服務人員,門市／店員／專櫃人員,冷熱飲調製人員,遊樂景點工作人員,調酒師／吧台人員,休閒娛樂事業從業人員,工讀生,售票／收銀人員,藥師助理,外送人員,工讀生,飯店／旅館服務人員,門市／店員／專櫃人員,冷熱飲調製人員,遊樂景點工作人員,調酒師／吧台人員,休閒娛樂事業從業人員,售票／收銀人員,藥師助理,外送人員
萬用填充項擠壓-跨領域(高信心),"🔥《月薪38,000元~43,200元》【熹湯舖子】台中北屯店-正職人員★歡迎二度就業、無經驗者★",儲備幹部,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,售票／收銀人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,西式廚師,侍酒師,餐廚助手,門市／店員／專櫃人員,餐飲服務人員,外送人員,其他料理廚師,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,西式廚師,侍酒師,門市／店員／專櫃人員,餐飲服務人員,外送人員,其他料理廚師
,空調機電工程師-苗栗銅鑼,機電技師／工程師,機械工程師,工地監工,工務工管人員,冷凍空調繪圖／設計,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,工業設計,水電工,水電工程師,機構工程師,智慧製程工程師,機械加工技術人員,機電技師／工程師,機電技師／工程師,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,工業設計,水電工,水電工程師,機構工程師,智慧製程工程師,機械加工技術人員
,繪圖工程師／儲備幹部,電信／配線繪圖,水電及其他工程繪圖人員,CAD／CAM工程師,機械設計／繪圖人員,冷凍空調繪圖／設計,電機工程主管,設備工程主管,水電工程師,結構技師／工程師,土木工程師,CAD／CAM工程師,消防專業人員,PLC／自動控制工程師,設計主管,工業設計,CAD／CAM工程師,電機工程主管,設備工程主管,水電工程師,結構技師／工程師,土木工程師,消防專業人員,PLC／自動控制工程師,設計主管,工業設計
,機電設計工程師,水電及其他工程繪圖人員,電機技師／工程師,電信／配線繪圖,機械設計／繪圖人員,冷凍空調繪圖／設計,PLC／自動控制工程師,工業設計,機構工程師,水電工程師,電機設備裝配員,電機技師／工程師,機械加工技術人員,機電技師／工程師,零組件工程師,水電工,電機技師／工程師,PLC／自動控制工程師,工業設計,機構工程師,水電工程師,電機設備裝配員,機械加工技術人員,機電技師／工程師,零組件工程師,水電工
,防水人員💥薪優💥享勞健保.團保等福利***,防水施工人員,裝潢工程人員,技術人員,模板工程人員,營建工程人員,水電工程師,水電工,房務人員,消防專業人員,PLC／自動控制工程師,營建雜工／粗工,電機技師／工程師,智慧製程工程師,電機設備裝配員,防水施工人員,防水施工人員,水電工程師,水電工,房務人員,消防專業人員,PLC／自動控制工程師,營建雜工／粗工,電機技師／工程師,智慧製程工程師,電機設備裝配員
,防水工程技術工(台南、高雄),防水施工人員,結構技師／工程師,水電工,模板工程人員,營建工程人員,水電工程師,電子設備維修人員,電機設備裝配員,電機技師／工程師,冷凍空調技術人員／安裝員,PLC／自動控制工程師,設備工程主管,電器產品維修人員,消防專業人員,水電工,水電工,水電工程師,電子設備維修人員,電機設備裝配員,電機技師／工程師,冷凍空調技術人員／安裝員,PLC／自動控制工程師,設備工程主管,電器產品維修人員,消防專業人員
,配管學徒( 無經驗可),學徒,技術人員,焊接技術人員,工地品管員／工程師,營建工程人員,機車維修人員,CNC車床人員,壓鑄模具技術人員,鍋爐相關人員,汽車檢驗員,學徒,焊接技術人員,雷射技術操作員,鑄造／鍛造模具技術人員,電機設備裝配員,學徒,機車維修人員,CNC車床人員,壓鑄模具技術人員,鍋爐相關人員,汽車檢驗員,焊接技術人員,雷射技術操作員,鑄造／鍛造模具技術人員,電機設備裝配員
,台南官田工地-機電工程師,電信／配線繪圖,水電及其他工程繪圖人員,水電工程師,冷凍空調繪圖／設計,營建工程人員,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,工業設計,機構工程師,土木技師,水電工程師,智慧製程工程師,電機工程主管,水電工,水電工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,工業設計,機構工程師,土木技師,智慧製程工程師,電機工程主管,水電工
,半技工（來電者為優先考量）,技術人員,金屬建材架構人員,焊接技術人員,機械加工技術人員,營建工程人員,CNC車床人員,電機技師／工程師,智慧製程工程師,放電加工技術人員,電機設備裝配員,技術人員,水電工,模具技術人員,塑膠押出技術人員,汽車檢驗員,技術人員,CNC車床人員,電機技師／工程師,智慧製程工程師,放電加工技術人員,電機設備裝配員,水電工,模具技術人員,塑膠押出技術人員,汽車檢驗員
,機電工程師,水電工程師,水電及其他工程繪圖人員,工地監工,工地安全衛生工程師,營建工程人員,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工,機構工程師,工業設計,水電工程師,模具技術人員,機械工程師,水電工程師,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工,機構工程師,工業設計,模具技術人員,機械工程師
,景觀工程師,工地品管員／工程師,工地主管／主任,工地監工,景觀設計人員,營建工程人員,建築師,土木工程師,IC設計工程師,嵌入式工程師,建築繪圖／設計,軟體工程師,景觀設計人員,水電工程師,系統工程師,現場規劃工程師,景觀設計人員,建築師,土木工程師,IC設計工程師,嵌入式工程師,建築繪圖／設計,軟體工程師,水電工程師,系統工程師,現場規劃工程師
,"🌈工務助理,工地監工,現場工程師,工地主任",工地監工,工地品管員／工程師,工務助理,工地主管／主任,營建工程人員,冷凍空調繪圖／設計,軟體助理工程師,室內設計助理,CAD／CAM工程師,機械設計／繪圖人員,客服工程師,設計助理,工務助理,UI/UX設計師,業務工程師,工務助理,冷凍空調繪圖／設計,軟體助理工程師,室內設計助理,CAD／CAM工程師,機械設計／繪圖人員,客服工程師,設計助理,UI/UX設計師,業務工程師
,工地管理助理(無經驗可),營建工程人員,工務助理,工務工管人員,測量／儀校人員,營建雜工／粗工,冷凍空調繪圖／設計,客服工程師,室內設計助理,軟體助理工程師,設計助理,工務助理,機械設計／繪圖人員,CAD／CAM工程師,棚內技術工程人員,工務工管人員,工務助理,冷凍空調繪圖／設計,客服工程師,室內設計助理,軟體助理工程師,設計助理,機械設計／繪圖人員,CAD／CAM工程師,棚內技術工程人員,工務工管人員
,鐵工/西工半技工,焊接技術人員,組裝組立技術人員,金屬建材架構人員,模板工程人員,營建雜工／粗工,智慧製程工程師,電機技師／工程師,CNC車床人員,水電工,電機設備裝配員,木工,放電加工技術人員,壓鑄模具技術人員,營建雜工／粗工,沖床人員,營建雜工／粗工,智慧製程工程師,電機技師／工程師,CNC車床人員,水電工,電機設備裝配員,木工,放電加工技術人員,壓鑄模具技術人員,沖床人員
,鐵工半技工(日薪1700-1900）【意者可直接電洽0987-933865 黃先生】,技術人員,焊接技術人員,金屬建材架構人員,組裝組立技術人員,營建雜工／粗工,CNC車床人員,智慧製程工程師,電機技師／工程師,電機設備裝配員,水電工,沖床人員,塑膠押出技術人員,汽車檢驗員,沖壓模具技術人員,技術人員,技術人員,CNC車床人員,智慧製程工程師,電機技師／工程師,電機設備裝配員,水電工,沖床人員,塑膠押出技術人員,汽車檢驗員,沖壓模具技術人員
,鐵工學徒(日薪1600）【意者可直接電洽0987-933865 黃先生】,技術人員,焊接技術人員,金屬建材架構人員,組裝組立技術人員,營建雜工／粗工,工讀生,學徒,CNC車床人員,外務／快遞／送貨,木工,隨車人員,營建雜工／粗工,生鮮處理人員,宗教／神職人員,理貨人員,營建雜工／粗工,工讀生,學徒,CNC車床人員,外務／快遞／送貨,木工,隨車人員,生鮮處理人員,宗教／神職人員,理貨人員
,歡迎來電洽詢立即上班＞＞  鐵窗/鋁門窗技工熱烈招募中！,技術人員,金屬建材架構人員,鉗工,焊接技術人員,營建雜工／粗工,智慧製程工程師,水電工,電機技師／工程師,PLC／自動控制工程師,電機設備裝配員,水電工程師,技術人員,工業設計,模具技術人員,機電技師／工程師,技術人員,智慧製程工程師,水電工,電機技師／工程師,PLC／自動控制工程師,電機設備裝配員,水電工程師,工業設計,模具技術人員,機電技師／工程師
,鋁門窗半技(✨日薪~待遇優),裝潢工程人員,營建工程人員,技術人員,焊接技術人員,營建雜工／粗工,智慧製程工程師,電機技師／工程師,水電工,電機設備裝配員,PLC／自動控制工程師,CNC車床人員,木工,技術人員,塑膠押出技術人員,沖床人員,技術人員,智慧製程工程師,電機技師／工程師,水電工,電機設備裝配員,PLC／自動控制工程師,CNC車床人員,木工,塑膠押出技術人員,沖床人員
,機電經理,機電技師／工程師,電機工程主管,工地主管／主任,營建工程人員,營建雜工／粗工,電機技師／工程師,水電工,電機設備裝配員,智慧製程工程師,PLC／自動控制工程師,生管主管,技術人員,模具技術人員,機構工程師,電機工程主管,電機工程主管,電機技師／工程師,水電工,電機設備裝配員,智慧製程工程師,PLC／自動控制工程師,生管主管,技術人員,模具技術人員,機構工程師
,💰💰木地板安裝學徒,學徒,木工,裝潢工程人員,技術人員,營建雜工／粗工,通信維修人員,電器產品維修人員,冷凍空調技術人員／安裝員,電子設備維修人員,油漆工,木工,鍋爐相關人員,電機設備裝配員,水電工,燈光技術人員,木工,通信維修人員,電器產品維修人員,冷凍空調技術人員／安裝員,電子設備維修人員,油漆工,鍋爐相關人員,電機設備裝配員,水電工,燈光技術人員
,防水工程技術工,防水施工人員,泥水工相關人員,水電工,裝潢工程人員,營建雜工／粗工,水電工程師,電機設備裝配員,電子設備維修人員,消防專業人員,電機技師／工程師,PLC／自動控制工程師,冷凍空調技術人員／安裝員,水電工,設備工程主管,電器產品維修人員,水電工,水電工程師,電機設備裝配員,電子設備維修人員,消防專業人員,電機技師／工程師,PLC／自動控制工程師,冷凍空調技術人員／安裝員,設備工程主管,電器產品維修人員
,防水工程技術工(嘉義地區),防水施工人員,泥水工相關人員,水電工,裝潢工程人員,營建雜工／粗工,水電工程師,電子設備維修人員,電機設備裝配員,PLC／自動控制工程師,電機技師／工程師,水電工,電器產品維修人員,冷凍空調技術人員／安裝員,消防專業人員,電機維修人員,水電工,水電工程師,電子設備維修人員,電機設備裝配員,PLC／自動控制工程師,電機技師／工程師,電器產品維修人員,冷凍空調技術人員／安裝員,消防專業人員,電機維修人員
,金屬裝潢安裝人員(無經驗可),金屬建材架構人員,裝潢工程人員,技術人員,學徒,營建雜工／粗工,電子設備維修人員,電器產品維修人員,通信維修人員,機械加工技術人員,電機設備裝配員,水電工,冷凍空調技術人員／安裝員,電腦組裝／維修,技術人員,電機維修人員,技術人員,電子設備維修人員,電器產品維修人員,通信維修人員,機械加工技術人員,電機設備裝配員,水電工,冷凍空調技術人員／安裝員,電腦組裝／維修,電機維修人員
,現場施工助理,弱電工程師,電信／通訊系統工程師,工務助理,學徒,營建雜工／粗工,冷凍空調繪圖／設計,室內設計助理,設計助理,軟體助理工程師,機械設計／繪圖人員,客服工程師,工程助理,生管／助理,工務助理,棚內技術工程人員,工務助理,冷凍空調繪圖／設計,室內設計助理,設計助理,軟體助理工程師,機械設計／繪圖人員,客服工程師,工程助理,生管／助理,棚內技術工程人員
,日薪-$1800~$3000輕鋼架學徒、半技師✨️請直接電洽何先生0976052740,裝潢工程人員,木工,金屬建材架構人員,學徒,營建雜工／粗工,CNC車床人員,汽車檢驗員,壓鑄模具技術人員,機車維修人員,沖床人員,學徒,塑膠押出技術人員,包裝員／作業員,線切割技術人員,電機技師／工程師,學徒,CNC車床人員,汽車檢驗員,壓鑄模具技術人員,機車維修人員,沖床人員,塑膠押出技術人員,包裝員／作業員,線切割技術人員,電機技師／工程師
,塑材配管人員-配管工程,焊接技術人員,水電工程師,水電工,水電及其他工程繪圖人員,營建雜工／粗工,電信／配線繪圖,工程配管繪圖,土木工程師,金屬建材架構人員,機電技師／工程師,水電工程師,電機工程主管,電機設備裝配員,電機技師／工程師,工務工管人員,水電工程師,電信／配線繪圖,工程配管繪圖,土木工程師,金屬建材架構人員,機電技師／工程師,電機工程主管,電機設備裝配員,電機技師／工程師,工務工管人員
,機動清潔員,清潔／資源回收人員,家事服務／洗衣,餐飲服務人員,飯店／旅館服務人員,建築物清潔人員,房務人員,資材人員,倉管／物料管理員,空服人員,理貨人員,倉儲物流人員,生管／助理,清潔／資源回收人員,資材主管,神秘客,清潔／資源回收人員,房務人員,資材人員,倉管／物料管理員,空服人員,理貨人員,倉儲物流人員,生管／助理,資材主管,神秘客
,分析工程師(宜蘭)(經常性薪資32-50K),環保／環境工程師／技師,實驗／化驗人員,臨床／實驗室研究人員,化學／化工工程師,特用化學工程師,材料分析員,可靠度工程師,BIOS工程師,故障分析工程師,環境分析研究員,儀器操作分析員,特用化學工程師,微生物分析師,奈米研發工程師,材料研發人員,特用化學工程師,材料分析員,可靠度工程師,BIOS工程師,故障分析工程師,環境分析研究員,儀器操作分析員,微生物分析師,奈米研發工程師,材料研發人員
,測試/技術工程師~無經驗可,測量／儀校人員,原料檢驗人員,實驗／化驗人員,化學／化工工程師,特用化學工程師,模具技術人員,汽車檢驗員,電機設備裝配員,機械加工技術人員,電機技師／工程師,技術人員,IC封裝／測試工程師,塑膠模具技術人員,原料檢驗人員,檢驗人員,原料檢驗人員,模具技術人員,汽車檢驗員,電機設備裝配員,機械加工技術人員,電機技師／工程師,技術人員,IC封裝／測試工程師,塑膠模具技術人員,檢驗人員
,美編美工人員,美編人員,廣告設計,商業設計,平面設計,包裝設計,文字記者,電腦操作／資料輸入,排版人員,行政人員,總務人員,國貿人員,秘書,檔案資料管理人員,財務／會計助理,美編人員,美編人員,文字記者,電腦操作／資料輸入,排版人員,行政人員,總務人員,國貿人員,秘書,檔案資料管理人員,財務／會計助理
