# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
台中眾鈴 ／ 車輛組裝人員 (無經驗可－工作地點台中外埔區，預計2027/07搬遷至梧棲新廠),大客車司機,大貨車司機,堆高機操作人員,聯結車司機,汽車美容,包裝員／作業員,機械操作人員,其他車輛維修人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安三重區兼職】時薪200元起,工廠安全衛生人員,職業安全衛生管理師,職業安全衛生管理人員,工地安全衛生工程師,環保／環境工程師／技師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安板橋區兼職】時薪200元起,食品檢驗人員,農藝／畜產研究人員,工廠安全衛生人員,職業安全衛生管理師,環保／環境工程師／技師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安中和區兼職】時薪200元起,工廠安全衛生人員,職業安全衛生管理師,職業安全衛生管理人員,環保／環境工程師／技師,工地安全衛生工程師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安萬華區兼職】時薪200元起,工讀生,食品檢驗人員,食品衛生管理師,飯店／旅館工作人員,洗碗人員,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
業務助理-週休二日,內勤業務,不動產／商場開發人員,代書／地政士,國內業務人員,補習班招生人員,國貿人員,業務助理,採購人員,,,推薦項目命中率改善
"工讀助手,每日6-8小時8:00-17:00,現領,時薪200元",工讀生,外送人員,餐飲服務人員,安親／課輔老師,搬運人員,資材人員,倉管／物料管理員,採購人員,,,推薦項目命中率改善
紙器行政人員【歡迎同業轉業加入！】,印前製作人員,包裝員／作業員,手機包膜師,印刷技術人員,產品設備維修人員,行政人員,倉管／物料管理員,採購人員,,,推薦項目命中率改善
品牌業務 Brand Sales Specialist,通路開發人員,國內業務人員,產品經理,商化人員,專案業務主管,國外業務人員,國貿人員,採購人員,,,推薦項目命中率改善
加油人員,加油服務,補習班招生人員,總機／接待／櫃檯人員,工讀生,安親／課輔老師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
抱抱羊專櫃人員(台中新光三越店),動物飼育專業人員,養殖／畜牧專業人員,獸醫助理,寵物美容專業人員,水產養殖人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安門市假日兼職】07:00-14:30時薪200元起,農藝／畜產研究人員,食品檢驗人員,食品衛生管理師,農藝栽培專業人員,工廠安全衛生人員,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
業務助理(台中),不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,通路開發人員,業務助理,電腦操作／資料輸入,採購人員,,,推薦項目命中率改善
櫃台客服員(台中新光中港店)-月休10-12天,總機／接待／櫃檯人員,飯店／旅館櫃檯人員,補習班招生人員,電話客服人員,電話行銷人員,門市／店員／專櫃人員,電腦操作／資料輸入,採購人員,,,推薦項目命中率改善
櫃台客服員(台中漢神店)-月休10-12天,總機／接待／櫃檯人員,飯店／旅館櫃檯人員,補習班招生人員,電話客服人員,電話行銷人員,門市／店員／專櫃人員,電腦操作／資料輸入,採購人員,,,推薦項目命中率改善
奧斯丁夢想樂園客服員(台南南紡)-每周排休2日,總機／接待／櫃檯人員,休閒娛樂從業人員,遊樂景點工作人員,票務人員／旅行社人員,導遊／領隊／導覽,門市／店員／專櫃人員,電腦操作／資料輸入,採購人員,,,推薦項目命中率改善
新店客運 業務員 ( 保養廠材料員 ),運輸調度管理人員,汽車銷售人員,內勤業務,車輛引擎技術人員,醫藥業務代表,資材人員,倉管／物料管理員,採購人員,,,推薦項目命中率改善
計時人員【南港旗艦店】,工讀生,餐飲服務人員,日式廚師,飯店／旅館工作人員,洗碗人員,包裝員／作業員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
7-11大夜班,牙體技術人員,公家機關相關人員,中／港式點心廚師,工讀生,物理相關研究人員,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
超商大夜班,志願役軍官／士官／士兵,基層管理幹部,公家機關相關人員,總機／接待／櫃檯人員,隨扈／特勤,工讀生,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
儲備幹部,儲備幹部,基層管理幹部,經營管理主管,特別助理,人事／人力資源專員,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
全家便利商店 太保高鐵店-假日班職員,日式廚師,中式廚師,餐飲服務人員,中／港式點心廚師,其他料理廚師,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
派遣_綠能所_化災應變研究支援人員,碳權管理師,能源工程師,水利工程師,ESG永續管理師,其他研究人員,化學／化工工程師,環保／環境工程師／技師,公共衛生人員,,,推薦項目命中率改善
(台北)資深技術支持專員,都市／交通規劃人員,產品設備維修人員,發包人員,能源工程師,生產設備工程師,技術人員,包裝員／作業員,公共衛生人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安士林區兼職】時薪200元起,工讀生,農藝／畜產研究人員,食品檢驗人員,農藝栽培專業人員,食品衛生管理師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
彩券行機動班人員絕不從事非法,保全人員／警衛,隨扈／特勤,管理員,志願役軍官／士官／士兵,地勤人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
三民區彩券行台運早班人員絕不從事非法,隨車人員,主管駕駛,聯結車司機,外務／快遞／送貨,小客車／小貨車司機,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
"【超優入社獎金，高達$11,600】台南高鐵店 店員",儲備幹部,不動產經紀人／營業員,不動產／商場開發人員,加盟／招商人員,不動產審核／估價師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
全家便利商店大夜人員,衣物整燙人員,總機／接待／櫃檯人員,家事服務／洗衣整燙,飯店／旅館櫃檯人員,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安門市兼職】時薪200元起,農藝／畜產研究人員,食品檢驗人員,食品衛生管理師,農藝栽培專業人員,其他研究人員,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
【連鎖餐飲集團 拉亞漢堡農安門市兼職】時薪200元起,農藝／畜產研究人員,食品檢驗人員,食品衛生管理師,農藝栽培專業人員,其他研究人員,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,,,推薦項目命中率改善
早班正職員,餐飲服務人員,餐飲領班,日式廚師,洗碗人員,餐廚助手,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
晚班正職人員,餐飲服務人員,日式廚師,餐飲領班,中／港式點心廚師,中式廚師,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
全家明倫店徵兼職早晚班人員,餐飲服務人員,日式廚師,洗碗人員,飯店／旅館工作人員,工讀生,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,推薦項目命中率改善
湯屋管理員,日式廚師,其他料理廚師,營養師,中式廚師,餐飲領班,飯店／旅館服務人員,房務人員,公共衛生人員,,,推薦項目命中率改善
技術人員(電洽或親洽),學徒,維修技術人員,鈑金技術人員,產品設備維修人員,傳統車床人員,技術人員,清潔／資源回收人員,公共衛生人員,,,推薦項目命中率改善
越南廠區安全工程主管,保全工程技術人員,隨扈／特勤,志願役軍官／士官／士兵,基層管理幹部,保全人員／警衛,總務主管,環保／環境工程師／技師,工廠安全衛生人員,,,推薦項目命中率改善
店鋪服務員,儲備幹部,不動產／商場開發人員,餐飲服務人員,加油服務,公家機關相關人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家玄武店 大夜正職,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
早班工作人員,餐飲服務人員,工讀生,餐飲領班,洗碗人員,生鮮處理人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店台南赤崁店假日PT〝短期勿試〝,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店台南大豐店假日PT’’短期勿試‘’,餐飲服務人員,洗碗人員,儲備幹部,中／港式點心廚師,日式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家玄武店 早班正職,餐飲服務人員,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店芝玉店午班/晚班兼職人員,餐飲服務人員,洗碗人員,工讀生,日式廚師,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店午班/晚班全職人員 - 中央南路店,日式廚師,餐飲服務人員,中式廚師,中／港式點心廚師,其他料理廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店全職人員 - 大業店,日式廚師,中式廚師,中／港式點心廚師,其他料理廚師,餐飲服務人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
早班PT,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,其他料理廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家玄武店 早班PT,儲備幹部,餐飲服務人員,日式廚師,洗碗人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
保衛站桃園區 門市人員,護理長,護理助理(護佐),照顧服務／指導員,護理師,專科護理師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
[高雄]楠梓區 駐廠清潔儲備幹部,清潔／資源回收人員,衣物整燙人員,建築物清潔人員,房務人員,家事服務／洗衣整燙,領班／管理幹部,教育訓練人員,儲備幹部,,,推薦項目命中率改善
勤務部主管,基層管理幹部,志願役軍官／士官／士兵,隨扈／特勤,管理員,行政主管,經營管理主管,教育訓練人員,儲備幹部,,,推薦項目命中率改善
【學顧-北】儲備幹部/學習顧問師,校長,講師,企管顧問,升學補習班老師,課業輔導老師,產品企劃人員,行銷企劃人員,儲備幹部,,,推薦項目命中率改善
台中櫃台服務人員,總機／接待／櫃檯人員,飯店／旅館櫃檯人員,補習班招生人員,醫院行政管理人員,飯店／旅館工作人員,國內業務人員,門市／店員／專櫃人員,儲備幹部,,,推薦項目命中率改善
工研院量測中心_研究助理派遣人員(F000),助理研究人員,其他研究人員,技術文件／說明書編譯,其他專案管理師,測試工程師,醫事檢驗師,研究助理,病理藥理研究人員,,,推薦項目命中率改善
工研院量測中心_研究助理派遣人員(F000),助理研究人員,其他研究人員,技術文件／說明書編譯,其他專案管理師,測試工程師,醫事檢驗師,研究助理,病理藥理研究人員,,,推薦項目命中率改善
臺大醫學院黃敏銓老師實驗室 誠徵 研究助理,研究助理,政治相關研究人員,助理研究人員,教授／副教授／助理教授,助教,生物科技研發人員,醫藥研發人員,病理藥理研究人員,,,推薦項目命中率改善
臺大醫院_婦產部研究員,專科護理師,醫院行政管理人員,營養師,醫事檢驗師,其他醫療從業人員,生物科技研發人員,醫藥研發人員,病理藥理研究人員,,,推薦項目命中率改善
臺大醫院_耳鼻喉部研究員,專科護理師,醫事檢驗師,護理長,護理師,其他醫療從業人員,生物科技研發人員,醫藥研發人員,病理藥理研究人員,,,推薦項目命中率改善
研究專員(博士儲備幹部),助理研究人員,其他研究人員,政治相關研究人員,歷史研究人員,醫藥研發人員,食品研發人員,生物科技研發人員,病理藥理研究人員,,,推薦項目命中率改善
研究專員-資源加值組(實驗室檢測),助理研究人員,其他研究人員,政治相關研究人員,生技主管,研究助理,微生物分析師,生物科技研發人員,病理藥理研究人員,,,推薦項目命中率改善
台大醫學院家醫科-江建勰副教授 徵研究助理,研究助理,教授／副教授／助理教授,助教,政治相關研究人員,助理研究人員,醫藥研發人員,生物科技研發人員,病理藥理研究人員,,,推薦項目命中率改善
Researcher- R&D Management Trainee 集團總部- 三義廠-研究員/產品開發/生產技術-儲備幹部,醫療器材研發工程師,生物科技研發人員,產品管理師,實驗／化驗人員,半導體製程工程師,化學／化工工程師,材料研發人員,特用化學工程師,,,推薦項目命中率改善
Research Scientist,統計精算人員,統計學研究人員,資料科學工程師,人類學研究人員,商標／專利人員,材料研發人員,化學／化工工程師,特用化學工程師,,,推薦項目命中率改善
JT-【日商化學材料大廠】工程師助理(月薪35~41K/每半年領一次獎金/歡迎新鮮人 ),IC封裝／測試工程師,包裝員／作業員,生產線工程師,生產設備工程師,產品設備維修人員,工程助理,化學／化工工程師,特用化學工程師,,,推薦項目命中率改善
*桃園總廠*【產品/研發類】研發工程師-整合(山鶯廠區)☆到職滿6個月，留任獎金最高20400元☆,半導體製程工程師,生產線工程師,工業工程師,零組件工程師,測試工程師,化學／化工工程師,材料研發人員,特用化學工程師,,,推薦項目命中率改善
房產業務助理,不動產審核／估價師,不動產／商場開發人員,不動產經紀人／營業員,土地開發人員,代書／地政士,行政人員,業務助理,國內業務人員,,,推薦項目命中率改善
營業助理,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,加盟／招商人員,國貿人員,業務助理,國內業務人員,,,推薦項目命中率改善
開發人員,土地開發人員,不動產／商場開發人員,發包人員,代書／地政士,估算人員,電話行銷人員,客服人員,電訪人員,通路開發人員,,推薦項目命中率改善
社群經營/直播小幫手【意者歡迎到門市洽談】,網站企劃人員,社群經營人員,電商行銷,數位行銷人員,產品企劃人員,門市／店員／專櫃人員,售票／收銀人員,業務助理,通路開發人員,,推薦項目命中率改善
中餐證照教師(基隆-光華),華語教師,日語教師,特殊教育教師,韓語教師,英語教師,烹飪老師,中式廚師,講師,中式麵點人員／師傅,,推薦項目命中率改善
【徵求｜生命旅程的溫柔擺渡人（禮車服務專員）】（太平區）,內勤業務,駐校代表,汽車銷售人員,運輸調度管理人員,國內業務人員,小客車／小貨車司機,外務／快遞／送貨,禮儀師,宗教／神職人員,,推薦項目命中率改善
機械保養維修技術員(待優)(近台中龍井),維修技術人員,機械設備組裝測試人員,產品設備維修人員,半導體設備工程師,其他車輛維修人員,焊接技術人員,機械操作人員,電機維修人員,技術人員,,推薦項目命中率改善
💥薪優35k起📣自動控制程式設計工程師***薪$35000~$55000***,網站程式設計師,前端工程師,全端工程師,軟體工程師,APP工程師,PLC／自動控制工程師,電機技師／工程師,機電技師／工程師,技術人員,,推薦項目命中率改善
📣CNC技師,車輛引擎技術人員,汽車維修人員,其他車輛維修人員,飛機修護員,產品設備維修人員,機械操作人員,CNC車床人員,機械加工技術人員,技術人員,,推薦項目命中率改善
整合行銷企劃,廣告／行銷企劃主管,廣告文案企劃人員,策展人員,電商行銷,產品經理,平面設計,美編人員,廣告設計,商業設計,,推薦項目命中率改善
助理人員-台中,公家機關相關人員,代書／地政士,徵信／調查人員,行政人員,歷史研究人員,業務助理,行政助理,財務／會計助理,客服人員,,推薦項目命中率改善
典當助理/內勤,授權／授信／徵信人員,徵信／調查人員,法務助理,成本會計人員,帳款催收人員,業務助理,管理員,內勤業務,客服人員,,推薦項目命中率改善
營業助理(彰化),不動產／商場開發人員,代書／地政士,通路開發人員,國內業務人員,不動產審核／估價師,業務助理,電話客服人員,行政助理,客服人員,,推薦項目命中率改善
售電業–綠電交易業務助理,碳權管理師,能源工程師,ESG永續管理師,都市／交通規劃人員,發包人員,業務助理,行政助理,行政人員,客服人員,,推薦項目命中率改善
【台中】營運&業務助理,通路開發人員,國內業務人員,加盟／招商人員,商化人員,土地開發人員,業務助理,行政人員,行政助理,客服人員,,推薦項目命中率改善
精品銷售專員,國內業務人員,不動產／商場開發人員,不動產審核／估價師,代書／地政士,加盟／招商人員,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,客服人員,,推薦項目命中率改善
手工鍛鐵門花技術員  (Kỹ thuật viên rèn thủ công hoa văn cửa sắt),林木伐運工作者,製鞋類人員,花藝／園藝人員,農藝栽培專業人員,粉末冶金模具技術人員,焊接技術人員,金屬模具技術人員,金屬建材架構人員,技術人員,,推薦項目命中率改善
📢呷尚寶中清店｜早班05:00~14:30｜月薪33-42K(依能力與工作表現調整)｜月休8天｜勞健保,牙醫助理,美容助理,護理師,照顧服務／指導員,護理長,餐飲服務人員,門市／店員／專櫃人員,冷熱飲調製人員,餐廚助手,,推薦項目命中率改善
市場銷售人員 薪37K起,儲備幹部,不動產／商場開發人員,國內業務人員,通路開發人員,駐校代表,門市／店員／專櫃人員,售票／收銀人員,餐飲服務人員,,,推薦項目命中率改善
【彰化花壇】現場作業員(週休二日),林木伐運工作者,花藝／園藝人員,農藝栽培專業人員,營建雜工／粗工,挖土／推土機相關操作人員,包裝員／作業員,機械操作人員,組裝組立技術人員,產品設備維修人員,,推薦項目命中率改善
鐵工 半技師/助手,金屬建材架構人員,焊接技術人員,鈑金技術人員,組裝組立技術人員,學徒,技術人員,電機設備裝配員,水電工程師,產品設備維修人員,,推薦項目命中率改善
假日打工-維修助手,產品設備維修人員,維修技術人員,精密儀器製造維修人員,半導體設備工程師,機械設備組裝測試人員,冷凍空調技術人員／安裝員,外送人員,營建雜工／粗工,洗碗人員,,推薦項目命中率改善
機電管理工程師(高雄),ESG永續管理師,營建主管,能源工程師,水利工程師,發包人員,冷凍空調技術人員／安裝員,電機維修人員,電機技師／工程師,水電工程師,,推薦項目命中率改善
公共工程機電PCM工程師,能源工程師,ESG永續管理師,碳權管理師,維修技術主管,測量／儀校人員,工地品管員／工程師,現場規劃工程師,工地安全衛生工程師,水電工程師,,推薦項目命中率改善
技術人員-內政部中央聯合辦公大樓南棟管理小組,基層管理幹部,公家機關相關人員,志願役軍官／士官／士兵,醫院行政管理人員,管理員,電機技師／工程師,電機設備裝配員,冷凍空調技術人員／安裝員,水電工程師,,推薦項目命中率改善
機電管理工程師(台南),營建主管,ESG永續管理師,現場規劃工程師,內業工程人員,水利工程師,冷凍空調技術人員／安裝員,電機維修人員,電機技師／工程師,水電工程師,,推薦項目命中率改善
機電工程人員,水電工,維修技術主管,弱電工程師,水利工程師,現場規劃工程師,電機技師／工程師,機電技師／工程師,水電工程師,工程配管繪圖,,推薦項目命中率改善
高雄區智權業務專員,專利工程師,法務人員,授權／授信／徵信人員,融資／信用業務人員,商標／專利人員,國內業務人員,業務工程師,客服工程師,客服人員,,推薦項目命中率改善
台灣大哥大電信-門市銷售通訊人員 (雲林莿桐) \38K起，升正月薪40K，獎金無上限,補習班招生人員,電話行銷人員,國內業務人員,電話客服人員,電訪人員,店長／門市管理人員,儲備幹部,門市／店員／專櫃人員,,,推薦項目命中率改善
監造工程師,營建主管,營造工程師,現場規劃工程師,內業工程人員,發包人員,工地監工,水電工程師,機電技師／工程師,工務工管人員,,推薦項目命中率改善
吃飽沒事乾雞蛋仔專賣店（宜蘭傳藝園區）,生鮮處理人員,動物飼育專業人員,日式廚師,水產養殖人員,養殖／畜牧專業人員,門市／店員／專櫃人員,工讀生,餐飲服務人員,餐廚助手,,推薦項目命中率改善
土木工程師,土木工程師,內業工程人員,營建主管,營建工程人員,營造工程師,土木技師,結構技師／工程師,工務助理,工務工管人員,,推薦項目命中率改善
監造工程師,營建主管,營造工程師,現場規劃工程師,內業工程人員,發包人員,土木技師,工地品管員／工程師,工地監工,工務工管人員,,推薦項目命中率改善
【西屯校】兼職導護,護理長,醫師,護理師,醫學美容／整型,專科護理師,工讀生,安親課輔老師,總機／接待／櫃檯人員,志工／義工類人員,,推薦項目命中率改善
時程管理工程師(高雄捷運),其他專案管理師,都市／交通規劃人員,發包人員,運輸調度管理人員,技術文件／說明書編譯,營建工程人員,土木工程師,內業工程人員,營造工程師,,推薦項目命中率改善
品管工程師,品保工程師,品管人員,故障分析工程師,測試工程師,品管／品保主管,工地品管員／工程師,工地監工,工務工管人員,營造工程師,,推薦項目命中率改善
遊戲攤位人員,活動企劃人員,駐校代表,演藝經紀／宣傳人員,導遊／領隊／導覽,休閒娛樂從業人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,門市／店員／專櫃人員,,推薦項目命中率改善
日本工作｜大阪・關東　翻譯銷售｜服飾業,日文翻譯,國內業務人員,導遊／領隊／導覽,駐校代表,票務人員／旅行社人員,門市／店員／專櫃人員,店長／門市管理人員,日文翻譯／口譯人員,,,推薦項目命中率改善
客服人員兼行政助理,行政助理,秘書,行政人員,補習班招生人員,總機／接待／櫃檯人員,業務助理,客服人員,文字客服,門市／店員／專櫃人員,,推薦項目命中率改善
【通路-北】課程行銷專員,通路開發人員,網站企劃人員,產品企劃人員,電話行銷人員,社群經營人員,國內業務人員,客服人員,業務助理,門市／店員／專櫃人員,,推薦項目命中率改善
美容接待專員(台南),美容助理,醫美諮詢師,美療師／芳療師,美容講師／技導,推拿／按摩師,總機／接待／櫃檯人員,飯店／旅館櫃檯人員,客服人員,門市／店員／專櫃人員,,推薦項目命中率改善
門市行政/運動助教（Curves台中復興店）,舞蹈演藝人員,運動教練,舞蹈健身老師,駕訓老師,美容講師／技導,行政助理,行政人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,,推薦項目命中率改善
(新竹關西)品管工程師,品管人員,品保工程師,測量／儀校人員,原料檢驗人員,故障分析工程師,工地品管員／工程師,內業工程人員,現場規劃工程師,工務工管人員,,推薦項目命中率改善
"現場充灌人員(📢薪資30000~35000元,徵的就是你~歡迎你的加入)",營建雜工／粗工,防水施工人員,砌磚工及砌石工,泥水工相關人員,模板工程人員,包裝員／作業員,技術人員,倉管／物料管理員,吊車／起重機相關操作人員,,推薦項目命中率改善
〈品保技術部〉表面處理製程工程師,測試工程師,故障分析工程師,實驗／化驗人員,品保工程師,染印人員,電鍍相關技術人員,塗裝技術人員,化學／化工工程師,材料研發人員,,推薦項目命中率改善
藥粧銷售專員,醫藥業務代表,國內業務人員,內勤業務,汽車銷售人員,不動產／商場開發人員,醫院行政管理人員,店長／門市管理人員,藥師助理,門市／店員／專櫃人員,,推薦項目命中率改善
微風台北車站or統一時代百貨or板橋車站甜點銷售人員,西點蛋糕師,中式麵點人員／師傅,麵包師,中／港式點心廚師,餐廚助手,門市／店員／專櫃人員,總機／接待／櫃檯人員,售票／收銀人員,,,推薦項目命中率改善
台中甜點店銷售人員,西點蛋糕師,中式麵點人員／師傅,麵包師,中／港式點心廚師,餐廚助手,門市／店員／專櫃人員,總機／接待／櫃檯人員,售票／收銀人員,,,推薦項目命中率改善
導覽門市銷售人員,導遊／領隊／導覽,票務人員／旅行社人員,駐校代表,遊樂景點工作人員,活動企劃人員,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,,,推薦項目命中率改善
業務後勤,代書／地政士,都市／交通規劃人員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,客服人員,美編人員,門市／店員／專櫃人員,,,推薦項目命中率改善
醫美產業管理幹部,美容助理,醫美諮詢師,美容講師／技導,行政主管,醫院行政管理人員,基層管理幹部,儲備幹部,護理師,美容師,,推薦項目命中率改善
理貨人員,內勤業務,補習班招生人員,秘書,公家機關相關人員,總機／接待／櫃檯人員,理貨人員,倉管／物料管理員,搬運人員,門市／店員／專櫃人員,,推薦項目命中率改善
業務及專案助理,代書／地政士,其他專案管理師,不動產／商場開發人員,專案業務主管,不動產審核／估價師,業務助理,門市／店員／專櫃人員,電話行銷人員,,,推薦項目命中率改善
銷售人員,不動產／商場開發人員,不動產審核／估價師,代書／地政士,國內業務人員,加盟／招商人員,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,,,推薦項目命中率改善
【糖村-忠孝復興SOGO 店】儲備幹部人員,餐飲服務人員,餐飲領班,儲備幹部,餐飲主管,飯店／旅館工作人員,門市／店員／專櫃人員,店長／門市管理人員,客服人員,售票／收銀人員,,推薦項目命中率改善
晚班服務人員,餐飲服務人員,飯店／旅館工作人員,餐飲領班,工讀生,洗碗人員,休閒娛樂事業從業人員,售票／收銀人員,門市／店員／專櫃人員,遊樂景點工作人員,,推薦項目命中率改善
晚班服務人員(20-8點),餐飲服務人員,飯店／旅館工作人員,餐飲領班,工讀生,洗碗人員,休閒娛樂事業從業人員,售票／收銀人員,門市／店員／專櫃人員,遊樂景點工作人員,,推薦項目命中率改善
球道服務員/高爾夫球場桿弟、桿娣$薪優福利完善$,運動教練,救生員,游泳教練,舞蹈健身老師,休閒娛樂從業人員,休閒娛樂事業從業人員,遊樂景點工作人員,門市／店員／專櫃人員,售票／收銀人員,,推薦項目命中率改善
內湖店-早班長期代班人員,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,,,推薦項目命中率改善
內湖店-晚班長期代班人員,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,,,推薦項目命中率改善
專案工程師,其他專案管理師,能源工程師,發包人員,碳權管理師,都市／交通規劃人員,工務助理,現場規劃工程師,電子工程師,系統工程師,,推薦項目命中率改善
燈具安裝施工人員,砌磚工及砌石工,模板工程人員,防水施工人員,木工,學徒,燈光技術人員,水電工,,,,推薦項目命中率改善
"入駐台北新地標！【金御賞】大巨蛋店招募中：起薪 40,500 元 + 完整培訓",不動產審核／估價師,不動產／商場開發人員,加盟／招商人員,融資／信用業務人員,授權／授信／徵信人員,門市／店員／專櫃人員,日式廚師,,,,推薦項目命中率改善
助理教師,高中職教師,華語教師,日語教師,英語教師,國中教師,語文補習班老師,升學補習班老師,,,,推薦項目命中率改善
兼任教師,華語教師,日語教師,高中職教師,英語教師,韓語教師,語文補習班老師,升學補習班老師,,,,推薦項目命中率改善
【台灣大哥大】 三重中正北加盟門市菁英｜優渥底薪+獎金,不動產經紀人／營業員,加盟／招商人員,不動產／商場開發人員,儲備幹部,不動產審核／估價師,門市／店員／專櫃人員,客服人員,,,,推薦項目命中率改善
日本Phiten品牌銷售專員-桃園大遠百,國內業務人員,駐校代表,汽車銷售人員,內勤業務,國外業務人員,門市／店員／專櫃人員,客服人員,,,,推薦項目命中率改善
日本Phiten品牌銷售專員-板橋地區,國內業務人員,駐校代表,內勤業務,通路開發人員,汽車銷售人員,門市／店員／專櫃人員,客服人員,,,,推薦項目命中率改善
早班人員（怡安路）,隨車人員,加油服務,學徒,搬運人員,公家機關相關人員,門市／店員／專櫃人員,客服人員,,,,推薦項目命中率改善
國立傳統藝術中心珊瑚浪人植栽藝術體驗館「傳藝館」,農藝／畜產研究人員,農藝栽培專業人員,花藝／園藝人員,景觀設計人員,應用科學研究人員,門市／店員／專櫃人員,美術老師,售票／收銀人員,遊樂景點工作人員,,推薦項目命中率改善
"鐵材加工作業員[砂輪機打磨,包裝]",傳統銑床人員,機械操作人員,傳統車床人員,焊接技術人員,粉末冶金模具技術人員,包裝員／作業員,營建雜工／粗工,,,,推薦項目命中率改善
自來水換錶人員,產品設備維修人員,維修技術人員,汽車美容,冷凍空調技術人員／安裝員,電器產品維修人員,水電工,營建雜工／粗工,,,,推薦項目命中率改善
