# ⚠️ 撤回清單（負向回饋用）：以下職缺曾在 4/5 號訓練回饋檔的歷史版本中，被錯誤標記為『理想推薦』的類別。
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,錯誤類別數,應撤回_錯誤類別_1,應撤回_錯誤類別_2,應撤回_錯誤類別_3,應撤回_錯誤類別_4,應撤回_錯誤類別_5,應撤回_錯誤類別_6,應撤回_錯誤類別_7,應撤回_錯誤類別_8,應撤回_錯誤類別_9,應撤回_錯誤類別_10,應撤回_錯誤類別_11,應撤回_錯誤類別_12,應撤回_錯誤類別_13,應撤回_錯誤類別_14,應撤回_錯誤類別_15,應撤回_錯誤類別_16,應撤回_錯誤類別_17,應撤回_錯誤類別_18,應撤回_錯誤類別_19,曾出現版本
enhancement_排序待優化,早晚假日班 外場兼職人員 (薪資210元/時) 意者歡迎15:00-18:00到店洽談,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,桃園店 餐廳 餐飲服務人員-瑞典美食 時薪制 (全勤獎金另計),工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,咖啡師,售票／收銀人員,外送人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,東京田町鳥心（日商 外場計時人員Pt),工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,布佬廚房(台中新都店)-義式料理:外場假日工時人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,里歐早午餐（自由店）04:30-08:00兼職人員 需長期,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,電腦操作／資料輸入,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,里歐早午餐（自由店）8:00-13:00兼職人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,里歐早午餐（自由店）9:00-13:00兼職人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【台南店】樂葵法式鐵板燒 – 外場計時夥伴,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,咖啡師,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,商場營業-高級專員/專員,店長／門市管理人員,門市／店員／專櫃人員,,,,9,售票／收銀人員,商化人員,廣告設計,攝影師,文字記者,旅遊休閒類主管,產品經理,行銷企劃人員,金融營業人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,屏東永大店收班兼職人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,★時薪200★【台北地區-新莊棒球場】外場兼職,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,誠徵短時間打烊班PT/上野烤肉飯-菓林店,工讀生,餐飲服務人員,,,,16,中式廚師,中式麵點人員／師傅,中／港式點心廚師,侍酒師,其他料理廚師,冷熱飲調製人員,外送人員,日式廚師,洗碗人員,生鮮處理人員,西式廚師,調酒師／吧台人員,鐵板燒廚師,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場服務人員(小里昂鐵板料理鳳山店：5月開幕),工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場人員（正職，假日.寒.暑假工讀可）,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外務／快遞／送貨,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,正職人員(雲林麥寮店),店長／門市管理人員,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,中科店/工讀生~想轉正也可以唷),工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,餐飲工讀生,工讀生,餐飲服務人員,,,,8,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【中壢龍岡店】晚班工讀,工讀生,餐飲服務人員,,,,9,冷熱飲調製人員,洗碗人員,生鮮處理人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,里歐早午餐（自由店）04:30-08:30兼職人員 需長期,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,電腦操作／資料輸入,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場計時人員(意者電洽)AM 10:00~PM 15:00,工讀生,餐飲服務人員,,,,8,其他料理廚師,冷熱飲調製人員,外送人員,房務人員,洗碗人員,西式廚師,調酒師／吧台人員,餐廚助手,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,晚班- 外場計時工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,永康店 8818 Pizza Restaurant 美式餐廳 外場工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,南門店 8818 pizza Restaurant 美式餐廳 外場工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,早晚班外場工讀生– 時薪196(草屯店),工讀生,餐飲服務人員,,,,8,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場平日早班工讀生(須貼假日),工讀生,餐飲服務人員,,,,9,冷熱飲調製人員,售票／收銀人員,外送人員,房務人員,調酒師／吧台人員,資材人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,門市人員(無經驗可，具餐飲經驗尤佳),店長／門市管理人員,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【十二月餐飲連鎖事業-台中甘肅店】早班假日外場工讀人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,埔里店🖐️正職服務人員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,六號糧倉羅東店-平日晚班/假日-外場餐飲兼差PT,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【韓國人的飯桌】兼職廚房助手（有實質標準加薪機制）,工讀生,餐飲服務人員,,,,16,中式廚師,中／港式點心廚師,侍酒師,其他料理廚師,冷熱飲調製人員,售票／收銀人員,外送人員,日式廚師,洗碗人員,生鮮處理人員,西式廚師,調酒師／吧台人員,鐵板燒廚師,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,莫凡彼Café (外場)兼職夥伴-桃園台茂店【時薪206~216】,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,計時人員,工讀生,餐飲服務人員,,,,8,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,計時人員 (租車部)-台北總站,工讀生,門市／店員／專櫃人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,店長／門市管理人員,行政主管,調酒師／吧台人員,資材主管,飯店／旅館主管,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,"【藏王日式食堂】環球店-店長55,000元起",店長／門市管理人員,餐飲服務人員,,,,8,侍酒師,冷熱飲調製人員,品管／品保主管,日式廚師,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,餐飲主管,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,店員(台北店) 早晚班工讀生 外場工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場服務工讀生 將軍村,工讀生,餐飲服務人員,,,,9,休閒娛樂事業從業人員,冷熱飲調製人員,售票／收銀人員,房務人員,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,平假日計時 外場服務生（時間彈性）,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,高雄SOGO-溜溜酸菜魚餐廳 平日 外場工讀生 PT,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【19to1鮮選牛排專賣店】誠徵-早/晚班外場計時服務員,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,高雄夢時代-溜溜酸菜魚餐廳 平日 外場工讀生 PT,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,時薪兼職、工讀人員,工讀生,餐飲服務人員,,,,9,冷熱飲調製人員,外送人員,房務人員,藥師助理,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,早班工讀生,工讀生,餐飲服務人員,,,,9,休閒娛樂事業從業人員,冷熱飲調製人員,售票／收銀人員,房務人員,藥師助理,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【中餐廳】出納專員,會計／出納／記帳人員,餐飲服務人員,,,,9,國貿助理,排版人員,業務助理,檔案資料管理人員,活動企劃人員,秘書,行政人員,財務／會計助理,電腦操作／資料輸入,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,台中廣三SOGO-餐廳出納(一頭班，需輪早晚班),會計／出納／記帳人員,餐飲服務人員,,,,9,國貿助理,排版人員,採購助理,業務助理,檔案資料管理人員,秘書,行政人員,財務／會計助理,電腦操作／資料輸入,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,東門市場-4.8坪➤韓式拌飯小吃✧晚班工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,大里店 店長 主任,門市／店員／專櫃人員,餐飲服務人員,,,,15,中／港式點心廚師,侍酒師,儲備幹部,其他料理廚師,冷熱飲調製人員,加盟／招商人員,品管／品保主管,園長,店長／門市管理人員,日式廚師,樓面管理人員,補習班主任／主管,調酒師／吧台人員,飯店／旅館主管,餐飲主管,,,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【翰品飯店 高雄】日料廚師,日式廚師,餐飲服務人員,,,,8,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,餐廚助手,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,計時人員 (租車部)-永和站,工讀生,門市／店員／專櫃人員,,,,9,侍酒師,冷熱飲調製人員,品管／品保主管,售票／收銀人員,店長／門市管理人員,調酒師／吧台人員,資材主管,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,計時人員 (租車部)-蘆洲站,工讀生,門市／店員／專櫃人員,,,,9,侍酒師,冷熱飲調製人員,品管／品保主管,售票／收銀人員,店長／門市管理人員,調酒師／吧台人員,資材主管,飯店／旅館主管,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,計時人員 (租車部)-新莊中正站,工讀生,門市／店員／專櫃人員,,,,9,侍酒師,冷熱飲調製人員,品管／品保主管,售票／收銀人員,店長／門市管理人員,調酒師／吧台人員,資材主管,飯店／旅館服務人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,糧1宜蘭店-假日外場工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,糧1宜蘭店-外場兼職,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,(高時薪)早班工讀生,工讀生,餐飲服務人員,,,,9,休閒娛樂事業從業人員,倉管／物料管理員,冷熱飲調製人員,售票／收銀人員,房務人員,資材人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,糧1宜蘭店-外場工讀生,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,藥師助理,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【Noodle Booze】外場 早班工讀,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外務／快遞／送貨,外送人員,房務人員,木工,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【時薪 最高265】火之舞和牛燒肉｜熱血外場服務生（環境單純、含員工餐、獎金另計）,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,外送人員,房務人員,洗碗人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,四海餐飲服務人員-新竹市東區高翠店,工讀生,餐飲服務人員,,,,9,侍酒師,冷熱飲調製人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,[大林廠] 家品銷售員,國內業務人員,通路開發人員,,,,9,儲備幹部,售票／收銀人員,廣告設計,產品企劃主管,產品經理,神秘客,花藝／園藝人員,行銷企劃人員,門市／店員／專櫃人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【徵】業務人員  (💰薪35000起💰),國內業務人員,通路開發人員,,,,9,國外業務人員,國貿人員,國貿助理,報關人員,廣告AE,採購助理,文字客服,業務助理,活動企劃人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【台南】業務專員 / 資深業務專員,國內業務人員,通路開發人員,,,,9,國外業務人員,國貿人員,國貿助理,廣告AE,採購助理,業務助理,活動企劃人員,秘書,電話客服人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,(兼職性質業務)二手設備推廣專員,國內業務人員,通路開發人員,,,,9,國外業務人員,國貿人員,國貿助理,廣告AE,廣告設計,業務助理,活動企劃人員,神秘客,越南翻譯／口譯人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,✦【壁紙/建材業務專員】優秀獎金另計,國內業務人員,通路開發人員,,,,9,國外業務主管,國外業務人員,國貿人員,國貿助理,客服人員,廣告AE,業務助理,票務人員／旅行社人員,電話客服人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,中區-業務專員(業績獎金另計),國內業務人員,通路開發人員,,,,9,國外業務人員,國貿人員,國貿助理,客服人員,廣告AE,業務助理,票務人員／旅行社人員,醫藥業務代表,電話客服人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,業務人員-獎金另計,國內業務人員,通路開發人員,,,,9,其他語言翻譯／口譯人員,國外業務人員,國貿人員,國貿助理,客服人員,廣告AE,業務助理,票務人員／旅行社人員,電話客服人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
