# worst case 拯救方案：已驗證安全的手術式修正（儲備幹部/駐校代表/電話行銷人員 三桶，共615筆，零誤傷本次已救回案例）
問題桶,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
儲備幹部類(連鎖超商+班別),全家便利商店-大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,店長／門市管理人員,公家機關相關人員,衣物整燙人員,日式廚師,餐飲主管,總機／接待／櫃檯人員,餐廚助手,洗碗人員,門市／店員／專櫃人員,店長／門市管理人員,衣物整燙人員,餐飲主管,總機／接待／櫃檯人員,餐廚助手,,,,
儲備幹部類(連鎖超商+班別),全家便利商店台南府華店-中班正職〝短期勿試〝,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,中式廚師,洗碗人員,餐廚助手,餐飲主管,其他料理廚師,店長／門市管理人員,門市／店員／專櫃人員,餐廚助手,餐飲主管,其他料理廚師,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-俠隱店晚班正職,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,洗碗人員,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店正職早班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,餐飲主管,其他料理廚師,餐廚助手,洗碗人員,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家 鹿港金寶店-兼職大夜班 夜校可,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,中／港式點心廚師,日式廚師,工讀生,洗碗人員,加油服務,餐廚助手,安親／課輔老師,儲備幹部,中式廚師,門市／店員／專櫃人員,工讀生,加油服務,餐廚助手,安親／課輔老師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 中和烘爐店 大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,西點蛋糕師,中式麵點人員／師傅,餐廚助手,麵包師,中式廚師,日式廚師,其他料理廚師,鐵板燒廚師,洗碗人員,門市／店員／專櫃人員,西點蛋糕師,中式麵點人員／師傅,餐廚助手,麵包師,其他料理廚師,鐵板燒廚師,,,
儲備幹部類(連鎖超商+班別),全家便利商店-中壢導航店【正職早班】,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,餐飲主管,中式廚師,店長／門市管理人員,其他料理廚師,洗碗人員,加油服務,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,加油服務,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 烘爐店 晚班,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,中式麵點人員／師傅,西點蛋糕師,餐廚助手,麵包師,中式廚師,日式廚師,其他料理廚師,鐵板燒廚師,西式廚師,門市／店員／專櫃人員,中式麵點人員／師傅,西點蛋糕師,餐廚助手,麵包師,其他料理廚師,鐵板燒廚師,西式廚師,,
儲備幹部類(連鎖超商+班別),全家 鹿港柑仔店-大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,店長／門市管理人員,洗碗人員,中／港式點心廚師,其他料理廚師,中式廚師,美容助理,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,美容助理,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜月薪三萬五起,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,儲備幹部,中式廚師,餐廚助手,日式廚師,其他料理廚師,牙體技術人員,中式麵點人員／師傅,洗碗人員,西點蛋糕師,門市／店員／專櫃人員,餐廚助手,其他料理廚師,牙體技術人員,中式麵點人員／師傅,西點蛋糕師,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 烘爐店 早班,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,中式麵點人員／師傅,西點蛋糕師,餐廚助手,麵包師,中式廚師,日式廚師,其他料理廚師,鐵板燒廚師,西式廚師,門市／店員／專櫃人員,中式麵點人員／師傅,西點蛋糕師,餐廚助手,麵包師,其他料理廚師,鐵板燒廚師,西式廚師,,
儲備幹部類(連鎖超商+班別),全家便利商店桃園帝國店【正職大夜】,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,餐飲主管,其他料理廚師,洗碗人員,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店應徵跑店大夜,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,駕訓老師,店長／門市管理人員,加油服務,餐飲主管,中／港式點心廚師,補習班招生人員,公家機關相關人員,國內業務人員,加盟／招商人員,門市／店員／專櫃人員,駕訓老師,店長／門市管理人員,加油服務,餐飲主管,補習班招生人員,國內業務人員,加盟／招商人員,,
儲備幹部類(連鎖超商+班別),全家便利商店 嘉義仁義店-晚班職員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,餐飲服務人員,中式廚師,中／港式點心廚師,儲備幹部,其他料理廚師,餐飲主管,洗碗人員,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店桃園新天地店「大夜正職」,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,餐飲主管,店長／門市管理人員,其他料理廚師,洗碗人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店(大夜班)高雄重和店,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,餐飲服務人員,洗碗人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),店舖全職人員-夜班（全家新豐大興店）,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,洗碗人員,中式廚師,其他料理廚師,餐廚助手,鐵板燒廚師,生鮮處理人員,門市／店員／專櫃人員,其他料理廚師,餐廚助手,鐵板燒廚師,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 嘉義仁義店-大夜班職員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,中／港式點心廚師,其他料理廚師,餐飲服務人員,餐廚助手,洗碗人員,鐵板燒廚師,儲備幹部,西式廚師,門市／店員／專櫃人員,其他料理廚師,餐廚助手,鐵板燒廚師,西式廚師,,,,,
儲備幹部類(連鎖超商+班別),全家萬大店 早班 晚班 大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,餐飲主管,中式廚師,洗碗人員,其他料理廚師,飯店／旅館工作人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,飯店／旅館工作人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店(台南忠義店)-中班正職〝短期勿試〝歡迎二度就業面試!,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,中式廚師,加油服務,餐廚助手,洗碗人員,其他料理廚師,生鮮處理人員,門市／店員／專櫃人員,加油服務,餐廚助手,其他料理廚師,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,餐飲服務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,樓面管理人員,
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,餐飲服務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,樓面管理人員,
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員
儲備幹部類(連鎖超商+班別),7-11長期晚班工作夥伴（兼職可）,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,生鮮處理人員,日式廚師,中／港式點心廚師,餐廚助手,加油服務,中式廚師,工讀生,飯店／旅館工作人員,門市／店員／專櫃人員,生鮮處理人員,餐廚助手,加油服務,工讀生,飯店／旅館工作人員,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大里內新加盟店徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,餐飲主管,不動產／商場開發人員,不動產審核／估價師,美容講師／技導,餐飲服務人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,餐飲主管,不動產／商場開發人員,不動產審核／估價師,美容講師／技導,
儲備幹部類(連鎖超商+班別),全家便利商店大里內新加盟店徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,餐飲主管,不動產／商場開發人員,不動產審核／估價師,美容講師／技導,餐飲服務人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,餐飲主管,不動產／商場開發人員,不動產審核／估價師,美容講師／技導,
儲備幹部類(連鎖超商+班別),全家便利商店竹北六家店【晚班正職】,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,中／港式點心廚師,餐飲主管,中式廚師,其他料理廚師,洗碗人員,店長／門市管理人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店至善店大夜人員,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,洗碗人員,餐飲服務人員,衣物整燙人員,總機／接待／櫃檯人員,加油服務,飯店／旅館工作人員,樓面管理人員,中／港式點心廚師,家事服務／洗衣整燙,門市／店員／專櫃人員,衣物整燙人員,總機／接待／櫃檯人員,加油服務,飯店／旅館工作人員,樓面管理人員,家事服務／洗衣整燙,,,
儲備幹部類(連鎖超商+班別),7-11 逢大二  早班PT,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,日式廚師,中式廚師,餐廚助手,其他料理廚師,中式麵點人員／師傅,鐵板燒廚師,洗碗人員,西點蛋糕師,餐飲服務人員,門市／店員／專櫃人員,餐廚助手,其他料理廚師,中式麵點人員／師傅,鐵板燒廚師,西點蛋糕師,,,,
儲備幹部類(連鎖超商+班別),全家便利商店台南赤崁店中班正職〝短期勿試〝,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,中式廚師,店長／門市管理人員,餐飲主管,洗碗人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大里內新加盟店徵大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,不動產／商場開發人員,餐飲主管,不動產審核／估價師,美容講師／技導,飯店／旅館主管,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,土地開發人員,不動產經紀人／營業員,不動產／商場開發人員,餐飲主管,不動產審核／估價師,美容講師／技導,飯店／旅館主管
儲備幹部類(連鎖超商+班別),全家 鹿港金寶店-中班 10：00-18：00,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲主管,餐飲服務人員,日式廚師,店長／門市管理人員,中／港式點心廚師,其他料理廚師,洗碗人員,中式廚師,美容助理,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,美容助理,,,,,
儲備幹部類(連鎖超商+班別),全家三重福運店 大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,衣物整燙人員,洗碗人員,家事服務／洗衣整燙,中／港式點心廚師,日式廚師,店長／門市管理人員,中式廚師,餐飲服務人員,其他料理廚師,門市／店員／專櫃人員,衣物整燙人員,家事服務／洗衣整燙,店長／門市管理人員,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,衣物整燙人員,儲備幹部,洗碗人員,家事服務／洗衣整燙,總機／接待／櫃檯人員,店長／門市管理人員,公家機關相關人員,日式廚師,中式廚師,門市／店員／專櫃人員,衣物整燙人員,家事服務／洗衣整燙,總機／接待／櫃檯人員,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),高雄全家德祥店正職(早.晚.大夜.假日),門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,日式廚師,中式廚師,中／港式點心廚師,儲備幹部,其他料理廚師,洗碗人員,餐飲主管,鐵板燒廚師,餐廚助手,門市／店員／專櫃人員,其他料理廚師,餐飲主管,鐵板燒廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店(台中健興店)晚班人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,儲備幹部,日式廚師,洗碗人員,中／港式點心廚師,中式廚師,餐飲主管,飯店／旅館工作人員,工讀生,餐廚助手,門市／店員／專櫃人員,餐飲主管,飯店／旅館工作人員,工讀生,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店(台中健興店)大夜班人員,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,餐飲主管,中式廚師,飯店／旅館工作人員,加油服務,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,飯店／旅館工作人員,加油服務,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店中和連福店大夜班人圓,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,洗碗人員,餐飲服務人員,日式廚師,加油服務,餐廚助手,中式麵點人員／師傅,中式廚師,衣物整燙人員,門市／店員／專櫃人員,加油服務,餐廚助手,中式麵點人員／師傅,衣物整燙人員,,,,,
儲備幹部類(連鎖超商+班別),高雄全家福王店正職(早.晚.大夜.假日),門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,餐飲服務人員,中式廚師,中／港式點心廚師,儲備幹部,其他料理廚師,洗碗人員,餐飲主管,鐵板燒廚師,餐廚助手,門市／店員／專櫃人員,其他料理廚師,餐飲主管,鐵板燒廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家至善店早班兼職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,飯店／旅館工作人員,工讀生,中／港式點心廚師,儲備幹部,餐廚助手,中式廚師,生鮮處理人員,門市／店員／專櫃人員,飯店／旅館工作人員,工讀生,餐廚助手,生鮮處理人員,,,,,
駐校代表(理貨/駐點誤判),鶯歌區中正一路00:00～08:30理貨人員,理貨人員,倉儲物流人員,,,,駐校代表,內勤業務,樓面管理人員,補習班招生人員,汽車銷售人員,隨車人員,總機／接待／櫃檯人員,國內業務人員,售票／收銀人員,飯店／旅館櫃檯人員,理貨人員,內勤業務,樓面管理人員,補習班招生人員,汽車銷售人員,隨車人員,總機／接待／櫃檯人員,國內業務人員,售票／收銀人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),烏日高鐵一路13:00～22:00理貨人員,理貨人員,倉儲物流人員,,,,駐校代表,補習班招生人員,汽車銷售人員,內勤業務,門市／店員／專櫃人員,電訪人員,樓面管理人員,總機／接待／櫃檯人員,售票／收銀人員,國內業務人員,理貨人員,補習班招生人員,汽車銷售人員,內勤業務,門市／店員／專櫃人員,電訪人員,樓面管理人員,總機／接待／櫃檯人員,售票／收銀人員,國內業務人員
駐校代表(理貨/駐點誤判),和美線東路二段09:00～18:00理貨人員,理貨人員,倉儲物流人員,,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員,理貨人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),斗南鎮大展路下午17:30～20:30理貨人員,理貨人員,倉儲物流人員,,,,駐校代表,補習班招生人員,門市／店員／專櫃人員,汽車銷售人員,內勤業務,樓面管理人員,售票／收銀人員,電訪人員,總機／接待／櫃檯人員,國內業務人員,理貨人員,補習班招生人員,門市／店員／專櫃人員,汽車銷售人員,內勤業務,樓面管理人員,售票／收銀人員,電訪人員,總機／接待／櫃檯人員,國內業務人員
駐校代表(理貨/駐點誤判),鶯歌區中正一路20:30～05:00理貨人員,理貨人員,倉儲物流人員,,,,駐校代表,內勤業務,樓面管理人員,補習班招生人員,汽車銷售人員,隨車人員,總機／接待／櫃檯人員,國內業務人員,售票／收銀人員,飯店／旅館櫃檯人員,理貨人員,內勤業務,樓面管理人員,補習班招生人員,汽車銷售人員,隨車人員,總機／接待／櫃檯人員,國內業務人員,售票／收銀人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),撿貨人員( ✨✨大溪區 ✨✨全台 知名：便利商店商品 理貨 拍燈撿貨（鮮食）,倉管／物料管理員,包裝員／作業員,,,,駐校代表,門市／店員／專櫃人員,汽車銷售人員,國內業務人員,補習班招生人員,樓面管理人員,搬運人員,櫥窗／會場設計人員,加油服務,內勤業務,倉管／物料管理員,門市／店員／專櫃人員,汽車銷售人員,國內業務人員,補習班招生人員,樓面管理人員,搬運人員,櫥窗／會場設計人員,加油服務,內勤業務
駐校代表(理貨/駐點誤判),富邦MOMO-平鎮區理貨人員,倉儲物流人員,包裝員／作業員,,,,駐校代表,補習班招生人員,汽車銷售人員,門市／店員／專櫃人員,內勤業務,國內業務人員,樓面管理人員,總機／接待／櫃檯人員,通路開發人員,電訪人員,倉儲物流人員,補習班招生人員,汽車銷售人員,門市／店員／專櫃人員,內勤業務,國內業務人員,樓面管理人員,總機／接待／櫃檯人員,通路開發人員,電訪人員
駐校代表(理貨/駐點誤判),♡(機會難得)大園 運動品牌理貨 六日休假 日班8h,倉儲物流人員,倉管／物料管理員,,,,駐校代表,舞蹈演藝人員,駕訓老師,國內業務人員,舞蹈健身老師,運動教練,補習班招生人員,美容講師／技導,汽車銷售人員,門市／店員／專櫃人員,倉儲物流人員,舞蹈演藝人員,駕訓老師,國內業務人員,舞蹈健身老師,運動教練,補習班招生人員,美容講師／技導,汽車銷售人員,門市／店員／專櫃人員
電話行銷人員(電商倉儲時薪供餐),SS臨高薪300天天領 近白沙岬燈塔 觀音知名橘電商 今天做明天領 保證有班 新屋 大園 觀音寶倉街,倉儲物流人員,倉管／物料管理員,,,,電話行銷人員,電話客服人員,補習班招生人員,電訪人員,客服人員,內勤業務,融資／信用業務人員,帳款催收人員,國內業務人員,汽車銷售人員,倉儲物流人員,電話客服人員,補習班招生人員,電訪人員,客服人員,內勤業務,融資／信用業務人員,帳款催收人員,國內業務人員,汽車銷售人員
駐校代表(理貨/駐點誤判),常溫散貨理貨人員,包裝員／作業員,倉管／物料管理員,,,,駐校代表,內勤業務,補習班招生人員,工讀生,門市／店員／專櫃人員,生鮮處理人員,國內業務人員,總機／接待／櫃檯人員,倉儲物流人員,手機包膜師,包裝員／作業員,內勤業務,補習班招生人員,工讀生,門市／店員／專櫃人員,生鮮處理人員,國內業務人員,總機／接待／櫃檯人員,倉儲物流人員,手機包膜師
儲備幹部類(連鎖超商+班別),店舖全職人員-晚班（全家新豐大興店）,門市／店員／專櫃人員,,,,,餐飲服務人員,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,洗碗人員,其他料理廚師,餐廚助手,生鮮處理人員,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐廚助手,生鮮處理人員,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店福興福環店大夜班人員,門市／店員／專櫃人員,,,,,儲備幹部,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,飯店／旅館工作人員,餐飲主管,加油服務,中式廚師,樓面管理人員,門市／店員／專櫃人員,飯店／旅館工作人員,餐飲主管,加油服務,樓面管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家至善店早晚班正職人員,門市／店員／專櫃人員,,,,,餐飲服務人員,日式廚師,儲備幹部,中／港式點心廚師,洗碗人員,中式廚師,餐飲領班,其他料理廚師,餐飲主管,飯店／旅館工作人員,門市／店員／專櫃人員,餐飲領班,其他料理廚師,餐飲主管,飯店／旅館工作人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 大夜服務人員,門市／店員／專櫃人員,,,,,餐飲服務人員,飯店／旅館工作人員,總機／接待／櫃檯人員,餐飲領班,洗碗人員,儲備幹部,加油服務,餐飲主管,工讀生,飯店／旅館櫃檯人員,門市／店員／專櫃人員,飯店／旅館工作人員,總機／接待／櫃檯人員,餐飲領班,加油服務,餐飲主管,工讀生,飯店／旅館櫃檯人員,,
儲備幹部類(連鎖超商+班別),全家便利商店 大夜正職,門市／店員／專櫃人員,,,,,中／港式點心廚師,日式廚師,中式廚師,儲備幹部,其他料理廚師,餐飲服務人員,洗碗人員,餐廚助手,餐飲主管,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐廚助手,餐飲主管,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店（輔仁店）晚班,門市／店員／專櫃人員,,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,餐飲主管,中式廚師,洗碗人員,其他料理廚師,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店專職大夜,門市／店員／專櫃人員,,,,,儲備幹部,中／港式點心廚師,公家機關相關人員,日式廚師,店長／門市管理人員,餐廚助手,中式廚師,其他料理廚師,總機／接待／櫃檯人員,不動產／商場開發人員,門市／店員／專櫃人員,店長／門市管理人員,餐廚助手,其他料理廚師,總機／接待／櫃檯人員,不動產／商場開發人員,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-中壢導航店【中班人員】,門市／店員／專櫃人員,,,,,儲備幹部,餐飲服務人員,加油服務,餐飲主管,補習班招生人員,總機／接待／櫃檯人員,洗碗人員,中／港式點心廚師,日式廚師,店長／門市管理人員,門市／店員／專櫃人員,加油服務,餐飲主管,補習班招生人員,總機／接待／櫃檯人員,店長／門市管理人員,,,,
儲備幹部類(連鎖超商+班別),7-11屏科大  晚班店職員,門市／店員／專櫃人員,,,,,日式廚師,中式廚師,中／港式點心廚師,其他料理廚師,餐飲服務人員,鐵板燒廚師,儲備幹部,洗碗人員,餐廚助手,餐飲主管,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,餐廚助手,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 早班晚班夜班 台東文化店,門市／店員／專櫃人員,,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,洗碗人員,餐飲主管,中式廚師,店長／門市管理人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 美濃區早班正職人員,門市／店員／專櫃人員,,,,,餐飲服務人員,洗碗人員,加油服務,餐飲領班,儲備幹部,中／港式點心廚師,衣物整燙人員,飯店／旅館工作人員,日式廚師,保全人員／警衛,門市／店員／專櫃人員,加油服務,餐飲領班,衣物整燙人員,飯店／旅館工作人員,保全人員／警衛,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 礁溪玉田加盟店 (中/晚班),門市／店員／專櫃人員,,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,樓面管理人員,不動產／商場開發人員,飯店／旅館主管,不動產審核／估價師,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,樓面管理人員,不動產／商場開發人員,飯店／旅館主管,不動產審核／估價師
儲備幹部類(連鎖超商+班別),全家便利商店 公園東店 早班,門市／店員／專櫃人員,,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲主管,餐飲服務人員,中式廚師,洗碗人員,其他料理廚師,店長／門市管理人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家凱歌店-大夜班,門市／店員／專櫃人員,,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,餐飲主管,中式廚師,洗碗人員,其他料理廚師,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
駐校代表(理貨/駐點誤判),☀全國超市龍頭☀生鮮物流廠★【日班理貨分貨員】月領約3萬2~3萬4以上☀每月排休8天/可自選3天☀冷氣廠房/PD,包裝員／作業員,倉儲物流人員,生鮮處理人員,,,駐校代表,內勤業務,補習班招生人員,門市／店員／專櫃人員,汽車銷售人員,售票／收銀人員,總機／接待／櫃檯人員,搬運人員,樓面管理人員,國內業務人員,包裝員／作業員,內勤業務,補習班招生人員,門市／店員／專櫃人員,汽車銷售人員,售票／收銀人員,總機／接待／櫃檯人員,搬運人員,樓面管理人員,國內業務人員
